# date		JD		RV-VA	RV-As	GALAH	GAIA	Error	RV 5050-5150 	comments

2021-02-22	2459268.25	#	-34.15	#	#	#	-34.28	-34.48  Ulisse (verrebbe -37.3 con telluriche)
2021-10-17	2459505.383	#	-36.08	#	#	#	-35.81	-36.43  Manica-Paolo, Manica old extraction=-36.60 (only 1 lamp after), -39 with telluric correction
2021-11-20	2459539.33	-33.2	#	#	#	1	#	Varese
2021-12-18	2459567.29	-31.5	#	#	#	0.9	#	Varese
2021-12-20	2459569.312	#	-34.04	#	#	#	-34.00	Manica old extraction=-33.52 (edge of slit - bad seeing) Todcor very bad
2022-01-16	2459596.244	#	-32.45	#	#	#	-33.06	-33.86  Manica-Paolo new extraction=-31.73 (old -32.38)
2022-01-29	2459609.25	-31.2	#	#	#	1.2	#	Varese
2022-03-23	2459662.288	#	-32.5	#	#	#	-32.5	-30.37  Manica-Paolo with int Na. Standard extract wrong (-28.00) because of bad focus (RMS 0.02!) ccf todcor bad
2022-11-04	2459888.47	#	-34.63	#	#	#	-34.36	-32.65  Manica-Paolo new extraction=-34.21  (-35.6 con telluriche, ccf todcor sghemba)
# 2022-12-10	2459924.25	-29.1	#	#	#	0.4	#	Varese (bad seeing, not considered)
2022-12-27	2459941.25	-32.9	#	#	#	0.2	#	Varese
2023-01-04	2459949.25	#	#	#	#	#	#	Asiago (file not found)
2023-09-30	2460218.48	#	-39.2	#	#	#	-38.48	-38.96  Manica-Paolo (RMS calibration very bad 0.02 ?) -38.0 corrected with telluric
2023-11-11	2460260.33	-33.4	#	#	#	0.3	#	Varese
2023-11-15	2460264.33	-33.6	#	#	#	0.4	#	Varese
2023-12-06	2460285.37	-31.9	#	#	#	0.3	#	Varese
2023-12-14	2460293.37	-32.3	#	#	#	0.3	#	Varese
2023-12-19	2460298.37	-33.1	#	#	#	0.5	#	Varese
2023-12-21	2460300.37	#	-33.99	#	#	#	-34.30  -33.72	Ulisse
2023-12-26	2460305.37	-32.9	#	#	#	0.3	#	Varese
2024-01-11	2460321.35	-32.0	#	#	#	0.2	#	Varese
2024-01-19	2460329.35	-31.9	#	#	#	0.2	#	Varese
2024-01-26	2460336.35	-32.8	#	#	#	0.4	#	Varese
2024-01-28	2460338.35	#	-33.14	#	#	#	-33.23	-34.72  Manica-Paolo
2024-02-02	2460343.35	-32.3	#	#	#	0.3	#	Varese
2024-02-11	2460352.35	-33.8	#	#	#	0.2	#	Varese
2024-02-23	2460364.35	-32.5	#	#	#	0.7	#	Varese
# 2024-03-13	2460383.32	-37.2	#	#	#	0.4	#	Varese (defocus, not considered)
2024-03-14	2460384.32	-32.8	#	#	#	0.4	#	Varese
2024-03-24	2460394.32	-34.7	#	#	#	0.3	#	Varese
2024-03-24	2460394.32	#	-33.69	#	#	#	-33.35	-37.04  Manica-Paolo
2024-08-21	2460543.55	#	-36.59	#	#	#	-36.65	-37.99  -38.2   Manica-Paolo (-30.1 con metodo telluriche 6866-6935, -38.2 con metodo Na, todcor ccf sghemba)
2024-10-15	2460599.49	#	-39.01	#	#	#	-39.07	-39.39  Ulisse
2024-10-15	2460599.49	#	-38.63	#	#	#	-38.83	-39.23  Manica-Paolo
2024-10-16	2460599.67	#	-37.91	#	#	#	-37.60	 -40.24   Ulisse  (todcor ccf sghemba)
2024-10-28	2460611.40	-35.4	#	#	#	0.5	#	Varese
2024-11-07	2460621.40	-36.1	#	#	#	0.2	#	Varese
2024-11-18	2460632.40	-32.2	#	#	#	0.4	#	Varese
2024-11-22	2460636.40	-32.4	#	#	#	0.2	#	Varese
2024-11-28	2460642.40	-36.2	#	#	#	0.2	#	Varese
2024-12-01	2460645.40	-32.4	#	#	#	0.2	#	Varese
2024-12-16	2460660.40	-33.3	#	#	#	0.3	#	Varese
2024-12-24	2460669.40	-35.2	#	#	#	0.2	#	Varese
2024-12-27	2460672.40	-33.4	#	#	#	0.4	#	Varese
2024-12-29	2460674.40	-35.3	#	#	#	0.7	#	Varese
2025-01-12	2460688.40	-33.9	#	#	#	0.3	#	Varese
2025-01-13	2460689.40	-34.9	#	#	#	0.2	#	Varese
2025-01-16	2460692.40	-33.0	#	#	#	0.2	#	Varese
2025-01-16	2460692.37	#	-34.57	#	#	#	-34.30	-35.31  Ulisse
2025-02-02	2460709.40	-31.8	#	#	#	0.3	#	Varese
2025-02-23  2460732.40  -32.3   #	#	#	0.5	#	Varese
2025-02-27	2460736.40	-30.3	#	#	#	0.3	#	Varese
2025-03-04	2460741.38	-35.1	#	#	#	0.3	#	Varese
2025-03-08	2460745.38	-32.5	#	#	#	0.5	#	Varese
2025-03-17	2460754.38	-31.0	#	#	#	0.6	#	Varese
2025-03-19	2460756.38	-33.4	#	#	#	0.2	#	Varese
2025-04-03	2460771.40	-32.8	#	#	#	0.2	#	Varese
2025-04-10	2460778.40	-31.7	#	#	#	0.5	#	Varese
2025-08-10	2460897.62	#	-36.93	#	#	#	-36.83	#  Bor-Paolo
2015-11-11	2457338.0	#	#	-31.20	# 	#	#	GALAH_DR3 (-32.98 DR2)
#		#		#	#	#	-36.06	0.41	#	GAIA_DR3
