# spectrum_id category
1 Šum
2 Šum
3 Grozd_17
4 Grozd_0
5 Grozd_1
6 Grozd_2
7 Grozd_2
8 Grozd_3
9 Grozd_4
10 Grozd_5
11 Šum
12 Grozd_3
13 Grozd_3
14 Šum
15 Grozd_6
16 Šum
17 Grozd_3
18 Grozd_7
19 Grozd_77
20 Grozd_5
21 Grozd_8
22 Grozd_14
23 Grozd_7
24 Grozd_3
25 Grozd_2
26 Grozd_127
27 Grozd_9
28 Grozd_10
29 Grozd_11
30 Grozd_12
31 Šum
32 Grozd_11
33 Grozd_41
34 Grozd_13
35 Grozd_14
36 Grozd_15
37 Grozd_16
38 Grozd_17
39 Grozd_4
40 Grozd_8
41 Grozd_18
42 Grozd_19
43 Grozd_44
44 Grozd_14
45 Grozd_74
46 Grozd_20
47 Grozd_21
48 Grozd_12
49 Grozd_22
50 Grozd_3
51 Grozd_23
52 Grozd_24
53 Grozd_7
54 Grozd_16
55 Grozd_17
56 Šum
57 Grozd_25
58 Grozd_26
59 Grozd_27
60 Grozd_5
61 Grozd_90
62 Grozd_81
63 Grozd_7
64 Grozd_28
65 Grozd_16
66 Grozd_29
67 Grozd_57
68 Grozd_11
69 Grozd_5
70 Grozd_30
71 Grozd_11
72 Grozd_31
73 Grozd_11
74 Grozd_12
75 Grozd_166
76 Grozd_32
77 Grozd_33
78 Grozd_93
79 Grozd_34
80 Grozd_190
81 Grozd_93
82 Grozd_35
83 Grozd_36
84 Grozd_37
85 Grozd_3
86 Grozd_38
87 Šum
88 Grozd_21
89 Grozd_7
90 Šum
91 Grozd_39
92 Grozd_40
93 Grozd_41
94 Grozd_8
95 Grozd_42
96 Grozd_34
97 Grozd_43
98 Grozd_39
99 Grozd_26
100 Grozd_57
101 Grozd_44
102 Grozd_60
103 Grozd_45
104 Grozd_46
105 Grozd_47
106 Grozd_32
107 Grozd_48
108 Grozd_31
109 Grozd_11
110 Grozd_44
111 Grozd_48
112 Šum
113 Šum
114 Grozd_57
115 Grozd_49
116 Šum
117 Grozd_31
118 Šum
119 Grozd_141
120 Grozd_50
121 Grozd_50
122 Grozd_48
123 Grozd_51
124 Grozd_36
125 Grozd_29
126 Grozd_48
127 Grozd_48
128 Grozd_8
129 Grozd_19
130 Grozd_12
131 Grozd_52
132 Grozd_90
133 Grozd_52
134 Grozd_53
135 Šum
136 Grozd_39
137 Grozd_54
138 Grozd_55
