# x_i[kpc] y_i[kpc] z_i[kpc] vx_i[km/s] vy_i[km/s] vz_i[km/s] x_f[kpc] y_f[kpc] z_f[kpc] vx_f[km/s] vy_f[km/s] vz_f[km/s]
-32.099110 16.944414 -43.879909 -6669.470530 5233.908908 9110.553561 -1.153827 7.641119 -23.817152 5407.658320 11850.123794 -55023.435922
13.467860 33.795765 -4.878632 47255.596302 -7987.319090 1242.537085 -36.109279 9.651230 -3.850135 3240.905923 46340.786565 -8994.283071
-2.100538 5.114122 3.207757 -12447.481030 -18781.848151 -15833.995264 5.108545 -3.816817 -2.868451 -3282.838300 22636.568483 -12532.616542
14.969547 -15.789815 -2.089103 15487.071349 -1135.797533 -15886.494425 10.148469 19.887793 -2.275824 -8358.705931 6040.260931 16238.109669
4.415026 4.240819 -12.371039 -7188.108847 -34702.225736 -26438.620619 -8.454611 0.671023 19.510945 12231.665756 13545.275451 -1750.679771
-7.947539 0.138843 11.511744 8616.374943 -24528.681695 3734.646959 -8.556365 0.594668 -11.384299 -4918.519408 -22301.694977 11810.931007
4.446414 117.399625 83.371590 18206.399867 28104.780115 -30929.518298 46.546283 122.895211 -111.814397 6073.004391 -27201.224534 -25324.837645
25.354179 65.893602 -24.658591 2452.516469 21245.023508 12419.624551 29.086221 -30.661303 -50.352574 -7218.715588 20572.635319 19824.018721
-0.373914 -2.138318 -26.309354 -43932.187800 47904.111682 -10278.566859 31.713039 0.594258 -45.165909 -39623.885659 -4269.532340 6673.367426
16.183444 4.849720 15.203103 17795.017607 7375.947001 144.117250 16.914486 2.504332 11.361110 -17037.323987 -567.545564 -26037.548414
23.409357 14.704801 -5.404116 14540.669338 38263.142946 -31162.291614 -16.260510 6.998286 6.120536 30588.809679 -55100.802911 10897.959702
47.699596 -10.177709 7.528841 -31719.293641 -10880.539369 -17632.679741 0.616530 45.155225 -11.878595 19111.926862 34347.560481 3803.948749
24.514944 -30.516326 -4.684762 -17868.281926 -12515.160240 -4480.766018 -13.301264 6.853358 -3.285287 -3946.405904 66093.634088 -2089.963121
-30.251529 -9.677567 -3.918922 32854.206608 -5462.755597 -2038.042071 2.093897 29.618862 -3.062512 -18659.854517 -33181.264457 -5691.928643
24.587930 40.716737 -15.017178 -29962.360738 -2895.470807 -9319.270883 16.856187 -5.194159 -9.293338 21304.530811 61586.691885 -21398.753634
