# x_i[kpc] y_i[kpc] z_i[kpc] vx_i[km/s] vy_i[km/s] vz_i[km/s] x_f[kpc] y_f[kpc] z_f[kpc] vx_f[km/s] vy_f[km/s] vz_f[km/s]
-0.945997 -4.865555 -5.801449 44676.723180 -139.322563 -1175.120664 -4.822399 3.471231 -2.414934 -40202.061218 -16165.856917 32190.470470
57.120276 -17.114292 6.858072 -4589.984231 52293.140382 9204.060143 34.465769 33.044736 -9.044003 -45450.877601 40809.535437 -2970.359559
-6.784888 -23.837020 -19.977249 24542.829879 -22801.017962 -6031.504266 7.487933 -33.125897 0.878402 20993.730549 5915.401184 -37060.417234
1.860907 7.396299 12.259788 -29918.390372 17430.954856 190.828187 9.576663 4.285234 -13.461396 -16771.269894 18989.279573 6418.378706
-46.039746 -3.004550 14.751434 -6140.202399 -46326.592744 4718.522083 38.126975 -35.488192 -16.349932 30936.467310 26661.877447 -3133.130160
47.640946 -12.264685 -1.457121 6025.392651 32498.839142 200.359007 -23.178900 29.342613 -0.854376 -48653.519960 -8393.564452 2939.531508
4.701396 18.296570 -6.193126 -46651.910470 -2526.113296 -362.816851 5.665526 -15.556121 5.011437 45940.697856 22422.384336 12785.035336
-20.506281 -20.345513 -3.502104 31312.933166 -22373.221693 7487.145130 6.514997 29.091820 0.346416 -36096.085955 7025.085403 15311.574957
-2.376026 -13.682007 -7.572258 31070.452749 -11443.679171 -17822.274605 12.058824 -10.162799 -6.995657 12959.851198 26585.366912 -19046.838233
36.984405 8.902991 -0.143300 -10402.698786 55524.519363 -3642.049707 5.642015 48.348657 -0.343322 -44509.161306 -1028.307472 3054.316910
-68.091759 51.588156 -45.587594 -12324.037882 -49799.003715 -7626.719959 -15.406199 -92.843605 53.711944 43653.340125 1704.334901 -18318.943610
37.225096 55.725774 1.068101 -56696.732468 2629.341926 8164.942196 -89.208863 -71.671416 -4.039413 26060.972026 -15576.031236 5033.374372
-30.359878 0.103803 4.462633 -64.581132 -47418.525205 10093.920760 -24.160904 -19.515383 3.184705 29260.074499 -35950.881210 14360.272552
9.375873 55.422600 2.019839 -38664.020344 4740.883081 2337.337434 -6.399366 -36.208792 1.459429 57477.477419 -16582.961136 -3480.267629
32.173641 36.337308 -2.118272 -34046.377014 30443.850383 5758.628875 47.291493 -10.187252 0.589259 11099.369067 44480.962451 7882.685016
2.385112 49.569772 8.128528 -34445.151816 5864.496114 4801.105163 -14.216311 25.572580 3.433351 -57715.829427 -17267.710399 -15350.208600
-42.910417 -63.711413 11.556344 35140.069656 -37027.817302 6172.120622 39.254255 -97.411359 2.500820 34341.261041 12290.989573 9558.182891
-7.014907 38.455759 -1.378597 -34831.782384 12088.249315 5585.900009 6.165677 -42.757014 1.890799 29474.338082 -900.143660 -4294.056724
-0.831258 -11.206717 0.339116 41834.574190 10668.212831 6146.467677 11.115013 -11.508927 0.317555 21411.673595 19211.387269 -5881.412309
-7.578320 0.613529 -11.460447 -43.600918 -19905.467462 -893.302384 0.208785 -7.088667 7.721909 20772.340629 17379.338585 26770.127072
19.472252 -4.321036 -2.306521 13679.464522 48480.063546 12770.796567 4.544548 19.360378 -1.773511 -49219.831756 11048.610325 -15135.169079
29.284766 -47.871265 1.132125 28022.606869 17547.390412 -7868.337776 27.910771 26.128240 1.409477 -50443.152254 19252.713947 -9946.687343
-38.511673 -21.695548 -3.308520 -1082.170336 -35596.818460 14051.050150 -14.482601 -46.341874 9.170021 27419.347525 -5299.518045 -3818.498235
-51.194606 11.646162 1.461386 -21413.498477 -40003.634507 -8812.980685 46.764037 32.599775 4.900740 -28181.575422 29480.824024 -2403.269093
