# x_i[kpc] y_i[kpc] z_i[kpc] vx_i[km/s] vy_i[km/s] vz_i[km/s] x_f[kpc] y_f[kpc] z_f[kpc] vx_f[km/s] vy_f[km/s] vz_f[km/s]
-2.312879 17.465800 -0.280561 -48347.938187 597.047832 1724.205395 17.336816 -13.291713 0.137141 26066.491874 28643.447527 2272.729126
-18.712659 33.347262 1.399196 -38447.510309 -18748.352132 2918.932535 -24.029274 28.976588 1.581045 -30203.655786 -31534.529603 1132.213554
74.064402 47.875709 -0.025933 -27279.674161 41622.431771 -605.054988 40.409605 -93.189497 -0.373001 38754.966405 19233.507840 363.006070
59.913591 -21.502518 -0.219345 19881.323829 44823.622253 -6614.347314 -31.550069 -52.931612 3.556048 44399.933775 -24180.061710 1551.930751
-12.979506 68.362957 -2.709257 -42361.956443 -10429.236892 3920.388236 8.195984 67.667797 -1.571805 -44705.818474 757.772303 -5177.446747
-4.400809 14.555392 -0.696677 -47555.969991 -7991.427255 -790.754084 0.762991 -14.846821 -0.418546 48968.336542 446.175486 3988.185020
29.295304 55.706203 -1.601956 -43665.352617 10042.576210 4583.636985 45.105183 18.506837 1.874068 -12020.565482 55518.423356 -3695.135312
28.361721 73.185379 3.890165 -36926.362425 33699.548991 -2094.244690 -44.593522 -43.922774 2.923307 48471.031424 -34293.431079 3844.223245
-4.928783 27.308549 -3.216178 -42553.647505 -17811.685536 1384.369191 -5.405122 -25.007025 -2.900593 45683.171060 -19882.636983 -5032.722769
-6.778081 3.077644 8.572996 -9562.375636 -55320.580100 -2369.457989 15.486857 5.947918 3.097564 -34978.675515 12678.278357 -38831.923040
-10.731682 78.369144 -0.782771 -48572.967595 -5948.004665 1580.380370 78.418619 9.470927 -0.712848 -5890.923681 48644.843917 -1662.518052
-10.568034 16.077443 0.343111 -40847.021037 -32648.893070 3289.956491 -22.701685 7.979719 -0.554390 -22339.126557 -36274.413392 -2168.603426
-113.548008 -47.346033 -0.458524 14886.829963 -48283.481985 -5547.382590 115.229744 68.780646 -6.791681 -31738.310851 34750.958389 -2789.316496
30.923635 -5.676264 0.578722 6585.148277 48441.294580 2377.175755 -19.367343 24.129890 0.339176 -39892.076441 -29573.934379 3203.702189
-6.970624 39.083188 0.728852 -44671.468344 -17378.092201 -557.243989 -42.367005 3.363645 0.567040 2191.677606 -44242.248871 -1733.122545
61.043787 -13.305730 0.628823 4571.772234 43555.037694 6361.792518 47.474995 40.583647 -2.585242 -24592.283963 36262.259945 4175.740058
3.818497 19.689878 -1.654615 -46783.980647 4770.007306 2494.924828 -12.113986 16.491766 -1.465635 -40079.980729 -22981.327577 4869.222503
-75.260836 -16.034138 -1.375612 15331.852997 -46729.882777 -2206.550838 -73.442605 3.958393 -0.413672 -4958.942622 -50966.787856 3159.345465
56.396445 -28.402627 -0.152532 26294.746458 41736.687732 1834.944178 17.004993 -58.326439 -0.207037 49900.869752 11179.106529 -1871.846580
29.009337 -21.864514 -0.397489 29385.321182 38583.280213 3882.702779 -0.079696 35.739690 0.928798 -49297.101028 1153.648213 -2134.507922
24.488922 1.213414 -2.010668 -13050.199488 50104.973465 -742.847489 -12.705533 -23.261540 -1.765768 46715.994343 -12291.189867 5408.130444
19.074213 6.927137 0.213609 -27539.744904 50427.083245 -2378.791304 -31.467274 -0.477625 -0.305277 -3531.066316 -36683.033057 1808.698768
-30.673496 -24.718782 0.995705 29269.715466 -33429.880271 -1187.272739 29.811154 -20.392148 -0.865190 33459.689435 35778.826189 1825.464797
-6.083688 5.074322 2.375982 -38282.476574 -30335.870299 -2821.128890 -11.376656 -10.768243 -1.606379 8635.829476 -25123.278626 -13206.360555
-9.408942 20.652850 1.279222 -42161.778695 -22744.358201 5811.757094 -24.553770 0.015866 -1.334527 -2706.615538 -44177.260866 5546.588353
13.050193 0.464288 2.697883 -11555.205384 51976.235902 -1260.197226 5.159676 11.778245 -1.351883 -51176.309089 15678.845772 15411.439066
29.552375 20.325935 1.210290 -26419.261460 35546.700397 4215.263652 -10.723918 -33.061172 1.085359 45037.413398 -9184.698345 -4796.595605
57.390318 73.327692 3.259250 -44846.512670 24832.960512 4360.259197 45.890933 112.275349 -7.341502 -37904.887459 9977.533169 -647.480756
-6.477373 13.841360 1.641578 -43750.026911 -18615.137135 -2087.055778 -8.713817 -15.000974 -0.152322 40664.418953 -13327.243186 10885.450932
-13.153410 15.545300 -0.517327 -43337.592218 -26371.762048 239.163809 0.350807 20.262086 0.420617 -50223.611433 8378.765815 1919.063981
9.468591 48.988637 0.494298 -47442.275461 9722.792984 -554.906987 22.297374 42.468058 -0.521480 -44907.490869 22830.474091 18.857535
-16.630373 23.224090 -3.718888 -46162.668035 -27256.858460 4316.813136 10.669239 -27.227986 -1.754624 51072.553352 12632.100638 13281.745317
-72.912199 38.687528 0.645755 -15005.365426 -56341.067841 257.860068 -11.528733 120.548414 -0.202302 -40136.747228 13006.596067 732.468865
24.458526 78.093103 5.367660 -44183.236515 21964.358882 2601.165820 -94.145970 30.084032 -0.011166 -10860.521247 -38885.292796 -5716.402687
36.625257 45.671025 2.465073 -33220.242198 38650.001306 -7913.662716 27.885397 65.327641 -3.680312 -36849.944666 18843.152823 6135.808657
3.008876 30.086451 -1.635006 -51613.104396 14611.711833 -208.992978 -32.628969 15.110032 -1.589952 -10645.526133 -44008.921368 -2690.181602
4.856604 -40.668467 0.536666 50197.948544 -586.356143 201.611014 37.056656 -20.701919 0.320406 28786.391124 38932.071912 -1447.982627
13.625551 -40.864162 3.988712 45418.328454 17337.347562 1549.443744 -19.172486 37.808218 -1.255784 -43232.789716 -23870.568138 10270.417465
-11.118202 -40.230654 0.300711 39034.073676 -10077.444288 -5048.073521 39.407087 13.771229 -0.460400 -13741.479307 37890.959604 4912.072141
0.183562 0.250237 -0.734392 -38397.045536 28839.829535 -2813.901026 -5.355619 1.301906 1.965170 -15194.726806 911.158799 4443.539307
-23.625632 -15.634861 -4.526413 28791.033109 -34067.865255 -2183.670386 -0.880533 -28.323492 -0.554398 44436.487681 4063.257152 -17262.036285
-1.275813 -52.959714 1.354117 49501.630970 106.463755 -4632.424166 -50.538527 -20.667348 -2.453646 18943.570873 -44123.624773 734.431436
10.808215 14.575024 -0.141151 -40640.279678 29136.086292 -5154.902754 6.222794 -21.037948 0.528461 41554.033385 5307.993045 3911.835152
-73.997091 75.830432 -1.077610 -25803.831807 -28162.947668 1837.061438 -95.589249 13.812912 1.841970 3797.606182 -42820.170130 -1120.305679
11.696054 50.082629 -0.718279 -48096.598927 9443.999432 2119.885888 -38.683405 -34.691633 -1.056948 31285.113601 -37068.349491 659.198691
58.952827 -2.456517 1.623494 -6.617965 41536.303392 -9.591106 -44.655524 24.658931 -0.730298 -32749.513202 -36750.173935 -3384.705698
-8.977371 33.378496 -0.432227 -51393.936298 -14379.256211 1383.102281 34.146243 -21.471907 0.504907 23737.175663 39092.376007 -1099.172955
67.172054 47.600203 4.495647 -26664.183866 44924.132673 -1580.721299 29.894527 -94.854967 -4.501201 38813.944062 20243.553136 2997.311066
61.305213 37.166429 4.550041 -24402.435008 42676.617463 5033.401550 -70.940109 -6.625007 -4.839891 4612.311613 -49234.402750 -4489.362504
118.204617 95.038896 0.510502 -26815.495420 37846.365170 -1594.516205 -17.236176 165.628520 1.226434 -42405.249580 80.559983 -1328.394116
-26.146036 5.068680 -1.344866 -5288.911186 -50763.373792 -474.610974 -29.919730 1.504410 1.232236 -6607.624284 -44924.476973 3179.881889
122.576957 41.470403 -1.005915 -17812.122459 43370.487147 -158.825038 84.047023 -95.795467 0.992248 34865.469170 32302.682484 177.357300
30.077412 15.107042 -2.005264 -23736.263130 42653.305012 965.446923 -13.228085 30.139147 0.378263 -46298.892545 -18602.586811 -7798.886620
